POA_CODE_2016,Equal Weighted Score,Disabled Score,Indigenous Score,Senior's Score,Youth Score,Number of people under Median income,Number of Households with more than 3 people,Number of households with 1 or less cars,Number of people aged 14 and old with a disability,Number of people aged 55+,Number Of Immigrants arrived since 2011,Number of 15-24 Year Olds,Number of people who travel to work ONLY by Taxi,Total Indigenous Population,Single Parent Families with Children under 15,Total Population
2079,0.19252974,0.12739605,0.11507911,0.18741095,0.34023284,0.17741367,0.84122622,0.20765191,0.07737844,0.33001007,0.03798450,0.13463956,0.04481184,0.00881026,0.14021078,0.06644058
2080,0.21475338,0.12331674,0.10809347,0.30169156,0.32591176,0.16408080,0.77513905,0.23185012,0.08255269,0.35518639,0.04293521,0.13257706,0.24819672,0.02046988,0.13440760,0.01597309
2081,0.18088686,0.10404638,0.09898551,0.19664982,0.32386574,0.13712982,0.81527053,0.20025355,0.07096294,0.31434266,0.04097597,0.14280906,0.07895698,0.00828791,0.10180497,0.05027075
2082,0.19575028,0.12277654,0.11332073,0.21723066,0.32967318,0.17162312,0.80944275,0.22248920,0.07392996,0.33627715,0.03532827,0.11513766,0.09818418,0.00863753,0.13773645,0.05053306
2083,0.21209448,0.14771231,0.14601073,0.24867062,0.30598425,0.19075049,0.55361257,0.37002272,0.10467413,0.49734124,0.03620803,0.10955119,0.00000000,0.00906723,0.17991801,0.01420247
2084,0.18069297,0.15182759,0.08077012,0.20121077,0.28896341,0.16379310,0.74472414,0.11746385,0.13986207,0.40242153,0.03135632,0.12987253,0.00000000,0.00789123,0.11459561,0.03393229
2085,0.21623623,0.17328372,0.12192274,0.26109492,0.30864351,0.17571404,0.73680532,0.19982572,0.17085341,0.44925110,0.05299381,0.12222897,0.07293875,0.00328123,0.09498569,0.10886999
2086,0.18378580,0.11275533,0.11442263,0.18659069,0.32137457,0.15439093,0.82816460,0.17268429,0.07111973,0.32577718,0.05972616,0.13025844,0.04740420,0.00497590,0.11735365,0.12563939
2087,0.20405084,0.13829309,0.12991128,0.22091219,0.32708680,0.16664713,0.78951301,0.22907309,0.10993905,0.36729554,0.07921811,0.12311395,0.07452883,0.00405642,0.12727308,0.11986847
2088,0.23298668,0.08996049,0.20541886,0.31842206,0.31814529,0.09258121,0.61427568,0.46012518,0.08733977,0.39492314,0.15027217,0.10559909,0.24192098,0.00223242,0.13475217,0.26673662
2089,0.24102492,0.07514893,0.21701692,0.34636738,0.32556644,0.08887817,0.46895452,0.66489831,0.06141970,0.30146776,0.17844157,0.07953475,0.39126699,0.00266690,0.14400868,0.11162429
2090,0.22580465,0.07455006,0.20803897,0.29302104,0.32760853,0.09379554,0.53262077,0.60827277,0.05530458,0.35437492,0.15990236,0.07574505,0.23166715,0.00154397,0.11709249,0.12854359
2092,0.18499268,0.08436055,0.09659034,0.24228121,0.31673863,0.10778821,0.82516809,0.20756499,0.06093290,0.30641983,0.10015408,0.12643323,0.17814260,0.00415537,0.11790867,0.06685279
2093,0.19999081,0.09741289,0.17132649,0.19919748,0.33202638,0.11940935,0.75604971,0.34812139,0.07541643,0.30109333,0.10796572,0.10452508,0.09730162,0.00352030,0.15437316,0.21425493
2094,0.21063891,0.07765411,0.15572255,0.28477474,0.32440424,0.10085616,0.65278253,0.46408529,0.05445205,0.33363509,0.15507991,0.07989299,0.23591438,0.00326549,0.12541641,0.05468325
2095,0.20930652,0.08628514,0.20862870,0.21848675,0.32382547,0.09220976,0.52458874,0.58908683,0.08036052,0.31005934,0.29118871,0.08941656,0.12691416,0.00460756,0.10955244,0.14861067
2096,0.17859967,0.07482773,0.15397046,0.18275401,0.30284647,0.09398240,0.64141707,0.37926610,0.05567306,0.24981723,0.13296263,0.09672033,0.11569080,0.00534904,0.14394766,0.13728429
