POA_CODE_2016,Total Population,Single Parent Families with Children under 15,Total Indigenous Population,Only method to work is Taxi,Number of 15-24 Year Olds,Total Number Of Immigrants since 2011,55 and Older who need assistance (disabled),Number of households with 1 or less cars,Number of Households with more than 3 people
2291,13417,159,199,12,1745,210,313,2124,2003
2292,2465,63,111,0,323,67,82,542,336
2293,2521,61,59,9,332,44,63,573,312
2294,1929,45,138,3,210,20,53,426,240
2295,6925,128,279,0,546,74,592,1291,815
2296,1883,60,72,0,241,49,51,471,224
2297,1680,57,48,3,186,45,39,327,232
2298,9498,217,399,4,1541,414,314,1841,1283
2299,11207,286,361,11,1970,1184,447,2183,1694
2300,10578,150,261,9,1526,460,220,2729,1051
2302,564,4,17,3,119,29,15,191,30
2303,9143,190,283,8,1287,163,418,1940,1283
2304,15176,396,588,19,1996,484,755,3146,2007
2305,12506,266,297,8,1531,304,358,2104,1970
2306,3358,205,471,3,411,15,185,917,466
2307,3905,113,190,0,709,312,125,751,581
2308,1326,0,37,0,1259,280,0,0,0
2311,858,20,54,0,80,0,34,101,122
2312,1458,32,95,0,159,6,64,156,218
2314,203,0,4,0,88,0,0,0,0
2315,14658,302,420,3,1313,237,754,2531,1680
2316,5849,114,161,0,740,55,190,801,819
2317,6244,129,180,4,560,70,345,1207,705
2318,12147,239,576,3,1420,102,308,948,1929
2319,6684,189,342,3,572,26,371,1093,820
2320,34556,933,1902,18,4400,404,1130,4247,5376
2321,14625,354,753,3,1761,118,360,1296,2400
2322,18450,507,956,0,2316,225,584,2389,2987
2323,25735,712,1285,7,3228,335,850,3803,3862
2324,23648,701,1713,3,2755,160,1082,3672,3083
2325,28460,981,2124,11,3566,155,1454,3990,3869
2326,7332,217,592,3,895,13,322,955,1094
2327,7615,267,568,0,982,41,406,1308,1054
2328,2442,60,137,0,282,18,82,309,337
2329,2112,57,144,0,203,22,87,272,262
2330,20350,465,1198,11,2580,295,580,2320,3057
2331,319,0,16,0,248,3,0,0,0
2333,13647,459,1224,4,1660,224,344,1999,1956
2334,2830,84,206,0,340,17,65,295,468
2335,6156,135,292,0,724,27,128,494,995
2336,2614,50,155,0,278,35,52,314,362
2337,7891,146,325,0,843,239,281,1047,1040
2338,1430,32,69,0,132,14,71,232,159
2339,679,13,29,0,61,0,29,60,76
2340,49072,1452,5116,39,6006,1070,1633,7100,6734
2341,1572,50,294,0,136,7,88,319,176
2342,471,6,11,0,41,3,13,51,57
2343,4968,130,611,4,517,30,194,734,627
2344,756,12,35,0,73,0,18,51,113
2345,721,13,55,0,69,0,22,57,96
2346,3149,86,399,0,310,0,182,486,388
2347,1931,35,123,0,128,14,127,342,191
2350,25339,620,1749,36,4088,1171,832,4127,3250
2351,976,0,28,0,919,26,0,0,0
2352,2716,72,254,0,281,10,69,311,385
2353,1126,28,84,0,75,0,75,122,151
2354,3576,70,213,0,330,17,122,417,438
2355,663,14,46,0,67,0,21,102,63
2356,162,3,42,0,27,0,11,19,18
2357,4159,110,496,0,379,23,274,667,447
2358,3767,91,342,0,377,14,153,553,465
2359,736,21,27,0,79,0,61,90,79
2360,14529,464,1244,12,1754,203,598,2235,1877
2361,909,29,118,0,80,0,84,128,100
